scenario,seed,model,acc,fit,pred,arity,n_features,noise
noise 5%,31,LogisticRegression,0.506,0.9354037079028785,0.00042354222387075424,5,16,0.05
noise 5%,31,RandomForest(500),0.506,2.2858575000427663,0.05056504160165787,5,16,0.05
noise 5%,31,GradientBoosting(300),0.501,12.792759042233229,0.006441290955990553,5,16,0.05
noise 5%,31,XGBoost(500),0.4935,1.0670527922920883,0.0030527920462191105,5,16,0.05
noise 5%,31,MLP(256-128-64),0.5205,11.418374416884035,0.0017156251706182957,5,16,0.05
noise 5%,31,"SVM(poly,d=6)",0.5085,0.6307023749686778,0.13115087524056435,5,16,0.05
noise 5%,31,WSRF,0.8135,10.50132341729477,1.152335959021002,5,16,0.05
noise 5%,47,LogisticRegression,0.498,0.013536833226680756,0.00022700009867548943,5,16,0.05
noise 5%,47,RandomForest(500),0.518,2.1555990409106016,0.05015312507748604,5,16,0.05
noise 5%,47,GradientBoosting(300),0.5125,12.871041916776448,0.006183749996125698,5,16,0.05
noise 5%,47,XGBoost(500),0.509,1.0685180840082467,0.002791666891425848,5,16,0.05
noise 5%,47,MLP(256-128-64),0.5125,11.423612041864544,0.001572582870721817,5,16,0.05
noise 5%,47,"SVM(poly,d=6)",0.492,0.6186770419590175,0.13219529204070568,5,16,0.05
noise 5%,47,WSRF,0.867,10.064836292061955,1.0932774590328336,5,16,0.05
noise 10%,13,LogisticRegression,0.479,0.9210085412487388,0.00020899996161460876,5,16,0.1
noise 10%,13,RandomForest(500),0.497,2.0638506659306586,0.05036254087463021,5,16,0.1
noise 10%,13,GradientBoosting(300),0.4805,12.75414525019005,0.006689125206321478,5,16,0.1
noise 10%,13,XGBoost(500),0.5035,1.0447427919134498,0.0026220418512821198,5,16,0.1
noise 10%,13,MLP(256-128-64),0.514,11.142942958977073,0.0018330835737287998,5,16,0.1
noise 10%,13,"SVM(poly,d=6)",0.4765,0.605431541800499,0.13136808294802904,5,16,0.1
noise 10%,13,WSRF,0.831,10.977756917010993,2.7418398330919445,5,16,0.1
noise 10%,31,LogisticRegression,0.5085,0.9219926660880446,0.000224958173930645,5,16,0.1
noise 10%,31,RandomForest(500),0.5065,1.9968851250596344,0.05006945785135031,5,16,0.1
noise 10%,31,GradientBoosting(300),0.4975,12.897245583124459,0.006564542185515165,5,16,0.1
noise 10%,31,XGBoost(500),0.5115,1.0931719173677266,0.0024461247958242893,5,16,0.1
noise 10%,31,MLP(256-128-64),0.5005,11.260024208109826,0.0017507919110357761,5,16,0.1
noise 10%,31,"SVM(poly,d=6)",0.4975,0.6101428330875933,0.1307794163003564,5,16,0.1
noise 10%,31,WSRF,0.756,10.937878957949579,2.804723707959056,5,16,0.1
noise 10%,47,LogisticRegression,0.509,0.9123767088167369,0.000528666190803051,5,16,0.1
noise 10%,47,RandomForest(500),0.503,1.9719944172538817,0.05042233411222696,5,16,0.1
noise 10%,47,GradientBoosting(300),0.503,12.667077083140612,0.006160082761198282,5,16,0.1
